hpo_id,maxo_label
HP:0030302,MRI of the brain
HP:0030301,MRI of the brain
HP:0012762,MRI of the brain
HP:0001355,MRI of the brain
HP:0034329,MRI of the brain
HP:0007206,MRI of the brain
HP:0034220,MRI of the brain
HP:0012097,MRI of the brain
HP:0007291,MRI of the brain
HP:0012096,MRI of the brain
HP:0012683,MRI of the brain
HP:0006799,MRI of the brain
HP:0012489,MRI of the brain
HP:0012488,MRI of the brain
HP:0012487,MRI of the brain
HP:0012081,MRI of the brain
HP:0007375,MRI of the brain
HP:0001331,MRI of the brain
HP:0030283,MRI of the brain
HP:0002389,MRI of the brain
HP:0025057,MRI of the brain
HP:0001341,MRI of the brain
HP:0006894,MRI of the brain
HP:0001320,MRI of the brain
HP:0007068,MRI of the brain
HP:0007360,MRI of the brain
HP:0012642,MRI of the brain
HP:0001321,MRI of the brain
HP:0007063,MRI of the brain
HP:0002335,MRI of the brain
HP:0006955,MRI of the brain
HP:0100307,MRI of the brain
HP:0006817,MRI of the brain
HP:0002951,MRI of the brain
HP:0001317,MRI of the brain
HP:0033668,MRI of the brain
HP:0025444,MRI of the brain
HP:0033988,MRI of the brain
HP:0033669,MRI of the brain
HP:0002134,MRI of the brain
HP:0040140,MRI of the brain
HP:0031982,MRI of the brain
HP:0012128,MRI of the brain
HP:0010994,MRI of the brain
HP:0034180,MRI of the brain
HP:0007007,MRI of the brain
HP:0012751,MRI of the brain
HP:0007183,MRI of the brain
HP:0012752,MRI of the brain
HP:0012753,MRI of the brain
HP:0007039,MRI of the brain
HP:0006999,MRI of the brain
HP:0002339,MRI of the brain
HP:0025039,MRI of the brain
HP:0007146,MRI of the brain
HP:0007048,MRI of the brain
HP:0041052,MRI of the brain
HP:0025012,MRI of the brain
HP:0200147,MRI of the brain
HP:0012697,MRI of the brain
HP:0012644,MRI of the brain
HP:0031206,MRI of the brain
